,book_id,model_id,team_id,recommendation_1,recommendation_2,recommendation_3,recommendation_4,recommendation_5
76,48292,1,mannheimminers,42391,74387,10063,26170,55209
77,2054,1,mannheimminers,57144,44177,48081,58983,42417
78,6643,1,mannheimminers,34650,72149,45513,27940,18155
79,3857,1,mannheimminers,12726,4409,64433,25038,59791
80,64350,1,mannheimminers,46677,35539,67231,33411,61302
81,10833,1,mannheimminers,77853,63900,37323,5570,67725
82,33556,1,mannheimminers,23417,31709,73418,71374,19314
83,23256,1,mannheimminers,14050,52290,2964,31874,71117
84,53880,1,mannheimminers,1904,50561,77425,3308,1808
85,75694,1,mannheimminers,14427,26606,20698,68836,55163
86,17770,1,mannheimminers,64461,22269,76591,77929,30124
87,9365,1,mannheimminers,60882,56869,40374,78109,10874
88,11177,1,mannheimminers,68293,44498,24392,21173,2091
89,48659,1,mannheimminers,39259,46886,73672,56860,55334
90,18169,1,mannheimminers,8239,50584,7827,67365,19552
91,48490,1,mannheimminers,27470,8515,862,34458,71603
92,70627,1,mannheimminers,51160,73314,56265,35731,39986
93,40000,1,mannheimminers,,,,,
94,18665,1,mannheimminers,54007,11599,46961,28863,55311
95,35574,1,mannheimminers,77348,29326,71655,53219,7922
96,11732,1,mannheimminers,1530,76383,25524,40327,23423
97,6798,1,mannheimminers,25674,76226,2186,9979,59296
98,42415,1,mannheimminers,13497,46023,17442,16573,7797
99,64236,1,mannheimminers,3863,34037,22000,71372,54616
100,60644,1,mannheimminers,,,,,
101,11595,1,mannheimminers,34261,73215,32763,33416,18566
102,39957,1,mannheimminers,78754,42385,29150,3983,1960
103,1519,1,mannheimminers,64772,64362,41551,12600,3196
104,10075,1,mannheimminers,27470,8515,862,34458,71603
105,25209,1,mannheimminers,7636,61852,32060,5953,75401
106,7108,1,mannheimminers,16690,16486,30464,38843,36712
107,67848,1,mannheimminers,62216,67244,25420,74314,59342
108,40424,1,mannheimminers,17170,33014,27981,59553,1555
109,72523,1,mannheimminers,25104,33248,51688,69870,20448
110,60588,1,mannheimminers,57451,17240,105,32081,47861
111,21315,1,mannheimminers,14160,52454,10227,12462,73889
112,50356,1,mannheimminers,60780,39253,64507,47678,41541
113,75904,1,mannheimminers,68843,34312,55151,4528,60860
114,17240,1,mannheimminers,57451,38084,24720,31041,19399
115,24218,1,mannheimminers,73975,16201,22464,54040,78189
116,21949,1,mannheimminers,35532,49178,28090,71418,22123
117,6478,1,mannheimminers,4092,10140,41221,74501,55616
118,76242,1,mannheimminers,40104,33936,27368,13475,48010
119,71112,1,mannheimminers,67725,5570,7764,41623,48263
120,76437,1,mannheimminers,38767,45801,10767,20691,77911
121,52656,1,mannheimminers,39150,34321,16779,45390,47150
122,10304,1,mannheimminers,65877,9178,46119,11381,9619
123,25399,1,mannheimminers,45942,37773,45484,52995,51239
124,71619,1,mannheimminers,63599,2094,32512,19118,4778
125,31439,1,mannheimminers,48562,73109,41090,19103,14425
126,14323,1,mannheimminers,5087,45820,19669,63734,46535
127,10842,1,mannheimminers,4828,13206,31086,74110,73856
128,39515,1,mannheimminers,48838,54656,76795,9419,24060
129,59732,1,mannheimminers,7649,31094,39275,45303,20923
130,56452,1,mannheimminers,49373,73617,58875,69534,58280
131,53496,1,mannheimminers,53365,42412,51996,54616,71372
132,27903,1,mannheimminers,38995,57382,11330,14080,45256
133,53672,1,mannheimminers,62768,30613,60509,59190,13675
134,29813,1,mannheimminers,46995,41797,6132,16837,45316
135,67909,1,mannheimminers,,,,,
136,36620,1,mannheimminers,1070,16996,52979,6177,62781
137,44197,1,mannheimminers,72806,34802,44657,20660,49926
138,68772,1,mannheimminers,32233,10558,54858,39226,68061
139,72058,1,mannheimminers,40535,76219,54246,40255,1151
140,17921,1,mannheimminers,71215,39711,67273,35118,22723
141,67832,1,mannheimminers,33157,18146,50969,47300,2665
142,73203,1,mannheimminers,6628,16616,41455,67568,65022
143,30873,1,mannheimminers,58914,6557,47301,70578,39973
144,46059,1,mannheimminers,77948,56059,21610,48543,44415
145,49615,1,mannheimminers,76535,76310,77442,19822,37904
146,76629,1,mannheimminers,63360,48595,7607,17409,49538
147,55488,1,mannheimminers,53582,29054,53086,4686,27153
148,30713,1,mannheimminers,13837,40327,23423,35591,49714
149,3527,1,mannheimminers,22192,48566,65,2600,77268
150,52884,1,mannheimminers,24466,8511,6642,59444,32760
151,48270,1,mannheimminers,1808,6601,3308,48577,66029
152,18224,1,mannheimminers,6651,27977,3460,69693,56337
153,39309,1,mannheimminers,1424,45902,29309,74173,37950
154,11265,1,mannheimminers,10623,77342,12140,52716,70796
155,8288,1,mannheimminers,58123,28729,46223,60122,40492
156,40312,1,mannheimminers,35291,66730,58428,49558,56098
157,35418,1,mannheimminers,5273,54152,61769,33273,39496
158,78181,1,mannheimminers,13504,71797,67157,31043,59186
159,8859,1,mannheimminers,13065,65215,68479,72401,45937
160,3875,1,mannheimminers,65369,41041,42241,58263,41318
161,17348,1,mannheimminers,54372,48763,32405,41811,30784
162,37321,1,mannheimminers,45261,10063,67765,25756,74387
163,22277,1,mannheimminers,29480,23197,60233,68588,42389
164,52705,1,mannheimminers,25196,7946,59561,5659,37098
165,26856,1,mannheimminers,11058,30674,48156,36471,27330
166,36095,1,mannheimminers,,,,,
167,66497,1,mannheimminers,14617,61673,49887,52696,21181
168,55326,1,mannheimminers,1675,29198,6190,16359,71209
169,3959,1,mannheimminers,35563,59403,62983,11737,67887
170,66928,1,mannheimminers,3172,71088,40669,36167,11821
171,23159,1,mannheimminers,25699,65708,69228,14293,61852
172,76762,1,mannheimminers,28408,71574,61178,51739,75892
173,73748,1,mannheimminers,64606,6813,52040,77463,48618
174,8248,1,mannheimminers,34839,64978,15605,27858,37611
175,39766,1,mannheimminers,62585,61042,73421,52064,38279
176,49234,1,mannheimminers,28502,75585,14519,5594,23643
177,23366,1,mannheimminers,38911,10984,23809,70026,17136
178,59734,1,mannheimminers,41631,49640,64655,60145,4395
179,41020,1,mannheimminers,5953,75401,7636,17498,32060
180,74389,1,mannheimminers,76285,74619,69973,3400,21803
181,8538,1,mannheimminers,,,,,
182,40113,1,mannheimminers,78512,3266,61589,43471,6074
183,32980,1,mannheimminers,58409,37038,71402,22783,36060
184,47068,1,mannheimminers,15192,69094,38879,65833,73014
185,20083,1,mannheimminers,39296,52786,10456,18928,41369
186,31728,1,mannheimminers,9009,78766,53828,27692,17113
187,52192,1,mannheimminers,6177,62781,11193,16996,52979
188,62732,1,mannheimminers,65221,59106,73227,66201,18641
189,30746,1,mannheimminers,54492,34655,28851,36087,66067
190,22622,1,mannheimminers,177,31953,3155,33318,57889
191,54612,1,mannheimminers,,,,,
192,59032,1,mannheimminers,8615,54414,42141,5961,64725
193,26385,1,mannheimminers,67189,67725,54745,38218,10211
194,65461,1,mannheimminers,5857,28726,3239,42412,71440
195,54835,1,mannheimminers,5368,35031,57254,44244,76283
196,54737,1,mannheimminers,31260,45467,2653,75990,56766
197,76905,1,mannheimminers,52269,24588,31395,38391,24337
198,45093,1,mannheimminers,66487,70116,32545,32366,51220
199,31273,1,mannheimminers,3155,57889,33318,31953,61554
200,851,1,mannheimminers,72857,63068,39338,71544,74064
201,16935,1,mannheimminers,28863,46961,34687,13840,55311
202,28379,1,mannheimminers,9053,30601,25635,54075,45988
203,17009,1,mannheimminers,54944,47864,61365,71673,42224
204,1486,1,mannheimminers,71211,33672,24394,7607,46812
205,62630,1,mannheimminers,33668,57040,35016,68873,29794
206,34682,1,mannheimminers,54901,36814,43739,64637,38947
207,6741,1,mannheimminers,29470,8408,78220,21557,64837
208,20852,1,mannheimminers,10560,72614,73574,40656,70396
209,22265,1,mannheimminers,54785,77536,62264,76237,610
210,2244,1,mannheimminers,49251,70797,15538,7618,39551
211,26396,1,mannheimminers,64159,1972,37323,1200,15451
212,48796,1,mannheimminers,34460,12413,71448,44094,74669
213,45501,1,mannheimminers,60338,56181,32136,59253,71694
214,26445,1,mannheimminers,33154,7022,38313,23728,66561
215,457,1,mannheimminers,23980,52346,66551,53777,61489
216,35752,1,mannheimminers,31142,11898,3391,44203,66311
217,47491,1,mannheimminers,63266,9146,34020,26239,70203
218,43762,1,mannheimminers,12730,3768,64370,15493,29572
219,23599,1,mannheimminers,65169,23321,45291,51955,59248
220,13325,1,mannheimminers,41176,1808,3308,6601,2226
221,3273,1,mannheimminers,22911,48396,25274,5089,42417
222,2257,1,mannheimminers,76551,71355,37600,25408,62797
223,34670,1,mannheimminers,22063,7217,51095,78323,11128
224,74105,1,mannheimminers,57869,33246,66333,20955,31707
225,35720,1,mannheimminers,26607,41884,54236,45114,62542
226,71526,1,mannheimminers,50656,28334,77894,19091,74779
227,21737,1,mannheimminers,48167,72149,26802,77940,22459
228,7860,1,mannheimminers,47314,63357,37005,24098,60623
229,41648,1,mannheimminers,37626,30485,28106,67667,37632
230,1640,1,mannheimminers,15067,2616,67547,53368,59530
231,33814,1,mannheimminers,7809,45991,31164,54509,22448
232,19717,1,mannheimminers,53444,11084,49502,64179,73465
233,78998,1,mannheimminers,40412,19321,18996,46065,30283
234,23643,1,mannheimminers,75585,14519,5594,6206,72028
235,68712,1,mannheimminers,13384,17345,11487,4586,21853
236,63739,1,mannheimminers,9542,583,23617,38178,58681
237,42328,1,mannheimminers,63829,43731,61667,77821,32793
238,23446,1,mannheimminers,63207,9556,41430,17784,385
239,21285,1,mannheimminers,8369,53470,37135,22324,28431
240,72959,1,mannheimminers,66981,68820,37869,42660,43257
241,8548,1,mannheimminers,,,,,
242,21221,1,mannheimminers,3468,52940,73324,32280,2562
243,12564,1,mannheimminers,50498,9024,64907,873,30152
244,9577,1,mannheimminers,,,,,
245,29381,1,mannheimminers,2338,1335,16525,54183,51168
246,19688,1,mannheimminers,53671,6994,43509,76898,57195
247,45195,1,mannheimminers,70720,62830,66481,3873,33639
248,22775,1,mannheimminers,61427,62571,7892,53101,33839
249,13131,1,mannheimminers,69113,8393,8387,53915,19485
250,8861,1,mannheimminers,54253,52290,50588,51566,59626
251,1680,1,mannheimminers,72685,61153,78213,59296,2186
252,62200,1,mannheimminers,64037,12736,50924,14663,29631
253,73868,1,mannheimminers,36596,8874,3063,41764,39977
254,7666,1,mannheimminers,23738,27124,76874,24290,10933
255,7084,1,mannheimminers,18890,10789,73302,27665,23314
256,74586,1,mannheimminers,38966,22369,12130,31364,78699
257,2335,1,mannheimminers,32043,10414,16932,44101,22412
258,22877,1,mannheimminers,17692,462,8698,21030,4622
259,68509,1,mannheimminers,79065,10281,24083,70742,78787
260,28737,1,mannheimminers,7160,41468,43366,74194,68151
261,66339,1,mannheimminers,37091,35844,4277,72086,16655
262,49803,1,mannheimminers,23387,51701,7627,36588,56907
263,14189,1,mannheimminers,37957,118,51159,39678,36487
264,9884,1,mannheimminers,61498,6090,2714,20470,46063
265,67630,1,mannheimminers,56185,10963,55709,10840,34604
266,11407,1,mannheimminers,,,,,
267,8384,1,mannheimminers,73827,60045,67601,18443,12996
268,75345,1,mannheimminers,21026,43084,19296,22496,25385
269,45841,1,mannheimminers,21587,73877,23067,10932,14006
270,63764,1,mannheimminers,64967,74716,78816,72386,27500
271,70197,1,mannheimminers,59823,41899,59437,41374,66603
272,32109,1,mannheimminers,20239,77288,37502,41398,44866
273,30434,1,mannheimminers,69062,37119,36062,32675,31986
274,45358,1,mannheimminers,73688,28143,26786,58234,30299
275,52721,1,mannheimminers,44588,54288,21193,17345,22054
276,58820,1,mannheimminers,65806,23641,44435,52221,18521
277,70803,1,mannheimminers,56448,76451,5673,20218,63341
278,50338,1,mannheimminers,59338,75401,3760,32060,7636
279,66493,1,mannheimminers,39767,19088,75506,52755,47224
280,52519,1,mannheimminers,1884,45513,77940,8344,22459
281,37378,1,mannheimminers,13975,61464,15265,24085,17600
282,49952,1,mannheimminers,,,,,
283,75882,1,mannheimminers,414,36596,73868,3063,49811
284,7445,1,mannheimminers,,,,,
285,17850,1,mannheimminers,64423,66251,21391,13238,48465
286,42566,1,mannheimminers,29885,63441,11045,78975,55308
287,29708,1,mannheimminers,,,,,
288,46476,1,mannheimminers,14773,67106,21473,46043,39127
289,14470,1,mannheimminers,44273,222,62296,55091,56030
290,43679,1,mannheimminers,3468,73833,48724,67309,188
291,40279,1,mannheimminers,11496,39279,41673,40972,45268
292,24002,1,mannheimminers,50549,74449,53755,67995,77369
293,68253,1,mannheimminers,46556,74414,29051,54253,60378
294,15581,1,mannheimminers,45332,20936,16067,12962,54753
295,73552,1,mannheimminers,44119,20390,35945,11346,18042
296,38164,1,mannheimminers,37047,36397,44927,51688,9517
297,58779,1,mannheimminers,59003,6970,27294,27908,57480
298,57464,1,mannheimminers,11714,37909,21090,77380,23596
299,56827,1,mannheimminers,47860,78335,29301,46817,21615
300,76331,1,mannheimminers,39330,13616,49574,66242,56441
301,12568,1,mannheimminers,29451,43672,11584,49962,48274
302,63107,1,mannheimminers,1723,1884,22459,72149,50859
303,39971,1,mannheimminers,61297,30497,35114,25905,54140
304,24776,1,mannheimminers,,,,,
305,65811,1,mannheimminers,72896,51443,41358,810,25274
306,77175,1,mannheimminers,25756,67765,4052,45261,74387
307,53717,1,mannheimminers,17049,26575,12974,64795,70400
308,50340,1,mannheimminers,43888,45785,13600,2923,15386
309,77554,1,mannheimminers,63610,59809,19014,62101,60037
310,63279,1,mannheimminers,15417,74110,31086,4828,13206
311,59821,1,mannheimminers,75400,47837,11821,51688,32502
312,12725,1,mannheimminers,75326,28890,53749,42547,42222
313,1235,1,mannheimminers,34218,24240,41053,32007,37428
314,34899,1,mannheimminers,65555,36505,6587,18133,43212
315,37797,1,mannheimminers,20286,7332,74553,19755,55180
316,29368,1,mannheimminers,54691,70718,52201,48093,9503
317,11378,1,mannheimminers,64962,72900,32111,68828,55211
318,59092,1,mannheimminers,17969,55902,23803,34673,60846
319,5362,1,mannheimminers,33677,66646,20888,51920,25693
320,47933,1,mannheimminers,53380,10704,62714,42723,71075
321,68560,1,mannheimminers,45772,60855,37618,46242,12734
322,57628,1,mannheimminers,44567,20448,60331,47578,6132
323,11682,1,mannheimminers,53784,72753,77859,30741,18162
324,18601,1,mannheimminers,45513,22459,17326,1884,47191
325,58566,1,mannheimminers,19714,10460,76261,59209,51211
326,29217,1,mannheimminers,20931,6510,52985,3286,23098
327,64901,1,mannheimminers,4833,66553,5739,14314,77255
328,6359,1,mannheimminers,53376,43897,53600,63252,2932
329,54801,1,mannheimminers,9648,69520,41461,28344,71025
330,66017,1,mannheimminers,71444,64579,26881,69254,18870
331,28302,1,mannheimminers,19347,54040,22464,78189,73975
332,19235,1,mannheimminers,22820,78312,75851,11307,43483
333,24078,1,mannheimminers,22719,8988,54574,69115,24569
334,7924,1,mannheimminers,25600,18123,11821,44567,57628
335,2993,1,mannheimminers,29794,61733,73384,22516,45663
336,71202,1,mannheimminers,9127,55411,78813,52570,27096
337,38543,1,mannheimminers,29271,5288,42792,77003,58452
338,9943,1,mannheimminers,70022,74019,69102,64942,27743
339,24706,1,mannheimminers,66347,26170,10063,55209,45261
340,17298,1,mannheimminers,40296,51923,55664,43594,9328
341,49279,1,mannheimminers,38622,21540,13702,2657,38706
342,7129,1,mannheimminers,72852,51993,11465,51328,15538
343,54586,1,mannheimminers,59131,67469,36684,44345,28300
344,55270,1,mannheimminers,16096,69313,77119,24151,53675
345,16937,1,mannheimminers,65681,38509,24570,43144,23872
346,44508,1,mannheimminers,52771,20473,71571,18919,23480
347,28976,1,mannheimminers,41759,36316,16355,60493,13266
348,9612,1,mannheimminers,11302,66230,27922,29361,18890
349,43313,1,mannheimminers,576,35281,26471,76849,41652
350,46237,1,mannheimminers,55679,60055,52310,66013,74192
351,14883,1,mannheimminers,76760,73107,57811,4063,49700
352,71036,1,mannheimminers,76399,48812,45971,2537,2983
353,71886,1,mannheimminers,58463,45208,73963,1258,41043
354,70372,1,mannheimminers,,,,,
355,14750,1,mannheimminers,50470,75966,4593,55073,40183
356,52053,1,mannheimminers,50137,8147,4523,31953,33318
357,51638,1,mannheimminers,78813,22837,30568,23653,93
358,61875,1,mannheimminers,55198,53479,4173,48421,28877
359,42039,1,mannheimminers,56998,64038,5284,72720,25710
360,25598,1,mannheimminers,35381,44097,32072,78334,48860
361,23417,1,mannheimminers,73418,33556,31709,71374,19314
362,30446,1,mannheimminers,255,1048,21325,17511,5790
363,27104,1,mannheimminers,31865,69014,44766,20705,64533
364,61715,1,mannheimminers,18130,56858,33938,25338,9779
365,72826,1,mannheimminers,61690,54417,70314,4550,13817
366,7415,1,mannheimminers,20441,60599,21829,17066,66888
367,11688,1,mannheimminers,27105,21025,39234,59316,68472
368,12209,1,mannheimminers,7636,5953,17498,32060,61852
369,79016,1,mannheimminers,29635,24947,440,27951,19838
370,6019,1,mannheimminers,44567,20448,57628,60331,47578
371,14436,1,mannheimminers,22057,30058,6377,39328,54092
372,75422,1,mannheimminers,68550,31416,23134,58102,73359
373,10482,1,mannheimminers,4369,77620,35748,45285,63135
374,24686,1,mannheimminers,,,,,
375,50313,1,mannheimminers,16309,47300,40700,12409,57537
376,58067,1,mannheimminers,,,,,
377,37854,1,mannheimminers,50750,14753,75822,19785,31621
378,24118,1,mannheimminers,51993,11465,58605,65799,51328
379,66750,1,mannheimminers,30060,1874,57620,70417,38474
380,8116,1,mannheimminers,76861,56777,74538,34781,66727
381,62540,1,mannheimminers,306,23136,61454,70097,16581
382,25663,1,mannheimminers,29485,41582,58262,782,54697
383,16585,1,mannheimminers,37414,71806,59752,55723,44190
384,28466,1,mannheimminers,67416,71512,4115,64684,39812
385,42531,1,mannheimminers,27632,3734,73227,77544,11089
386,39680,1,mannheimminers,76046,58660,46030,3917,74031
387,51560,1,mannheimminers,38816,17333,66242,25035,13616
388,13374,1,mannheimminers,64256,59105,35342,72348,1272
389,18441,1,mannheimminers,45718,71372,71440,22000,27447
390,13880,1,mannheimminers,36858,50750,14753,31621,37854
391,17383,1,mannheimminers,51993,11465,15538,59541,74313
392,13014,1,mannheimminers,42676,54855,28480,10382,67497
393,57674,1,mannheimminers,11908,78269,58996,42516,40298
394,18756,1,mannheimminers,17418,35061,57590,50241,41107
395,51964,1,mannheimminers,3417,29782,76283,12984,14392
396,27403,1,mannheimminers,42740,67568,16616,6628,65022
397,10871,1,mannheimminers,25111,800,54334,17600,56108
398,35456,1,mannheimminers,11629,21714,20548,50913,30878
399,74872,1,mannheimminers,34617,21106,42060,26311,57547
400,63796,1,mannheimminers,56590,6019,9517,8735,47578
401,63457,1,mannheimminers,56809,36167,6132,63287,16837
402,55057,1,mannheimminers,49750,11385,36559,32414,55861
403,47336,1,mannheimminers,13244,22180,51204,68840,55210
404,43032,1,mannheimminers,52228,69767,55843,17477,58354
405,63855,1,mannheimminers,54274,43729,1226,45772,68560
406,72231,1,mannheimminers,53985,73267,66277,23970,37828
407,11527,1,mannheimminers,40044,67721,4925,76659,48885
408,31548,1,mannheimminers,65993,35873,16532,50575,31150
409,62812,1,mannheimminers,73465,21503,11084,49502,53444
410,20266,1,mannheimminers,14265,32231,4944,34283,53312
411,59605,1,mannheimminers,60287,46048,46155,76229,3228
412,57163,1,mannheimminers,47876,78609,11625,70037,31253
413,34307,1,mannheimminers,55444,32224,78243,57964,40572
414,65903,1,mannheimminers,14273,22991,65903,24769,29794
415,28580,1,mannheimminers,43606,12905,33189,45207,7500
416,5197,1,mannheimminers,39697,1069,23145,37257,69855
417,34939,1,mannheimminers,43257,26650,6261,67497,4491
418,59859,1,mannheimminers,11365,43567,68869,60343,37738
419,12077,1,mannheimminers,42416,65995,74358,372,73070
420,75539,1,mannheimminers,70203,26239,63266,9146,34020
421,24979,1,mannheimminers,19687,40278,70515,49033,53545
422,47684,1,mannheimminers,66736,53230,8049,60214,73656
423,37711,1,mannheimminers,3855,39620,40430,20110,76723
424,14162,1,mannheimminers,47409,2713,3254,37824,47706
425,30806,1,mannheimminers,63127,55964,19309,76246,46884
426,65785,1,mannheimminers,29099,49244,14199,2698,38690
427,2723,1,mannheimminers,61467,34056,74960,42991,63220
428,52874,1,mannheimminers,48387,12829,2483,27940,27834
429,2612,1,mannheimminers,35586,64925,45971,48812,2537
430,63908,1,mannheimminers,33898,66396,445,37379,76906
431,12075,1,mannheimminers,9062,20914,76997,65835,25008
432,78080,1,mannheimminers,49165,16912,23445,63758,58492
433,39083,1,mannheimminers,61906,73623,49871,30925,15454
434,64333,1,mannheimminers,48338,23198,76835,1819,6984
435,12640,1,mannheimminers,27034,74072,36135,7985,51040
436,41002,1,mannheimminers,,,,,
437,27038,1,mannheimminers,22459,77940,72149,1884,18155
438,38637,1,mannheimminers,74835,35817,56990,29734,13595
439,44894,1,mannheimminers,42630,46316,70408,11879,4215
440,35904,1,mannheimminers,4728,570,46298,19518,25016
441,38819,1,mannheimminers,29092,29378,24087,62109,74022
442,30628,1,mannheimminers,27333,58938,68533,71438,36089
443,6790,1,mannheimminers,34849,57534,28732,44808,13740
444,38368,1,mannheimminers,35835,75779,23363,11193,6177
445,27726,1,mannheimminers,9684,16043,43854,62406,56814
446,4890,1,mannheimminers,49185,76995,61267,61118,11324
447,37429,1,mannheimminers,42412,55737,22000,27447,34037
448,57598,1,mannheimminers,48144,60986,30310,9597,19149
449,44452,1,mannheimminers,23014,6177,16996,52979,62781
450,77629,1,mannheimminers,67623,53253,24625,25919,69453
451,44327,1,mannheimminers,40611,45516,14719,51196,71787
452,21276,1,mannheimminers,7607,49538,24394,76120,46812
453,46655,1,mannheimminers,45787,18158,38252,44870,5951
454,35579,1,mannheimminers,25015,53082,56613,63829,41527
455,56629,1,mannheimminers,27389,18062,8122,19142,74400
456,47549,1,mannheimminers,1734,37372,28602,66877,32502
457,31827,1,mannheimminers,41608,74504,7143,61782,13398
458,41447,1,mannheimminers,36596,73868,25166,16984,8874
459,57018,1,mannheimminers,15466,67833,60741,646,64750
460,69755,1,mannheimminers,78826,42821,73465,21503,11084
461,16190,1,mannheimminers,65221,24519,31125,11089,77544
462,48231,1,mannheimminers,3245,76493,8037,26599,52445
463,58737,1,mannheimminers,19687,40278,70515,49033,24979
464,9001,1,mannheimminers,61141,4705,51227,50631,76204
465,19462,1,mannheimminers,69359,33294,3110,70199,32817
466,15267,1,mannheimminers,60479,55872,2846,72808,72748
467,68076,1,mannheimminers,67621,32746,38611,30661,47341
468,17617,1,mannheimminers,5462,55120,65489,29679,12916
469,43701,1,mannheimminers,,,,,
470,66224,1,mannheimminers,77544,11089,22008,36536,73227
471,23132,1,mannheimminers,11236,73361,15064,46369,56913
472,23535,1,mannheimminers,31166,75204,58871,44552,48215
473,18479,1,mannheimminers,31634,70298,48633,54490,11985
474,63017,1,mannheimminers,20955,31493,57869,5730,44757
475,61316,1,mannheimminers,64497,5370,70456,70080,52293
476,56775,1,mannheimminers,1931,59030,74387,4052,45261
477,66954,1,mannheimminers,36846,56424,65177,14396,31588
478,32532,1,mannheimminers,78608,70849,46873,63816,10217
479,53813,1,mannheimminers,15302,21808,70829,32275,1037
480,43877,1,mannheimminers,19315,282,26781,32965,24560
481,34078,1,mannheimminers,47314,24098,36199,1836,63357
482,58561,1,mannheimminers,71673,61365,19915,56267,42224
483,77952,1,mannheimminers,,,,,
484,34978,1,mannheimminers,15103,30260,1600,43296,38811
485,337,1,mannheimminers,,,,,
486,25367,1,mannheimminers,2703,36278,29078,47189,36776
487,35094,1,mannheimminers,62403,32000,60807,75873,55685
