itemID,predictions
48292,"['30063', '38073', '77282', '53898', '37847']"
2054,"['23518', '57722', '39874', '7359', '36787']"
6643,"['24777', '61661', '10300', '17547', '2126']"
3857,"['12726', '45436', '4409', '8221', '75681']"
64350,"['57741', '17626', '24703', '56054', '6163']"
10833,"['49521', '29798', '78361', '43764', '73955']"
33556,"['31709', '56668', '71374', '43778', '72543']"
23256,"['87', '14050', '31874', '33481', '10185']"
53880,"['7548', '56719', '32061', '60563', '45662']"
75694,"['14427', '61520', '5131', '55163', '33409']"
17770,"['55507', '53934', '21304', '37874', '68572']"
9365,"['56869', '60882', '76257', '62051', '66224']"
11177,"['68293', '4943', '37868', '23723', '3519']"
48659,"['27477', '73672', '73563', '66958', '22291']"
18169,"['20691', '38913', '55524', '61166', '21320']"
48490,"['52670', '27404', '42764', '13333', '14158']"
70627,"['56265', '51160', '73314', '25984', '22920']"
40000,"['1113', '69163', '17937', '26914', '26773']"
18665,"['52938', '1265', '65637', '37040', '6602']"
35574,"['77348', '26038', '28096', '48819', '14564']"
11732,"['1530', '76383', '48197', '61633', '39240']"
6798,"['33342', '33862', '30090', '25674', '76226']"
42415,"['13497', '16573', '69330', '66406', '35693']"
64236,"['13001', '8525', '45131', '73772', '3467']"
60644,"['46822', '55287', '40521', '20674', '69525']"
11595,"['44855', '32763', '25805', '71034', '17329']"
39957,"['63989', '47189', '6517', '23214', '55435']"
1519,"['33536', '17371', '28210', '6157', '26166']"
10075,"['30879', '48846', '2325', '34733', '75743']"
25209,"['60992', '54900', '29399', '40267', '67757']"
7108,"['11212', '53339', '19543', '67187', '54184']"
67848,"['52837', '43053', '61963', '18456', '38159']"
40424,"['54543', '17170', '33014', '27981', '1555']"
72523,"['32150', '18375', '19382', '62730', '66000']"
60588,"['19399', '73981', '77777', '68423', '76948']"
21315,"['76301', '42678', '67483', '31801', '69153']"
50356,"['39253', '60780', '64507', '9795', '66802']"
75904,"['68843', '12143', '34312', '261', '33851']"
17240,"['55259', '7982', '1272', '36823', '54271']"
24218,"['34936', '33029', '42362', '28462', '23388']"
21949,"['50452', '28090', '71418', '66889', '29621']"
6478,"['28026', '55616', '29884', '59589', '59987']"
76242,"['7713', '32431', '63094', '14076', '34517']"
71112,"['48234', '71436', '72663', '76886', '57276']"
76437,"['62079', '20055', '3850', '19640', '10659']"
52656,"['17966', '35350', '21975', '53158', '56188']"
10304,"['74954', '36171', '69800', '79038', '44809']"
25399,"['49165', '38709', '1228', '37773', '505']"
71619,"['2094', '70228', '19118', '8479', '33813']"
31439,"['26728', '48562', '20692', '68632', '33651']"
14323,"['45820', '5087', '19669', '16669', '25301']"
10842,"['38732', '76869', '69914', '67821', '43823']"
39515,"['9419', '1966', '48838', '28653', '625']"
59732,"['56193', '16024', '61497', '21668', '50683']"
56452,"['27451', '51819', '35069', '50058', '46124']"
53496,"['10972', '47277', '48548', '21468', '76792']"
27903,"['11330', '38995', '31123', '68007', '14080']"
53672,"['8706', '31227', '72461', '60509', '59190']"
29813,"['13666', '16470', '64195', '21785', '68833']"
67909,"['22621', '10550', '40795', '27391', '39161']"
36620,"['19382', '61571', '67982', '22774', '7817']"
44197,"['75877', '74910', '47620', '20994', '3199']"
68772,"['8180', '54858', '499', '53087', '42855']"
72058,"['78865', '5519', '40535', '40255', '54246']"
17921,"['57821', '43775', '75321', '57404', '60622']"
67832,"['33157', '18146', '35041', '40465', '78771']"
73203,"['73222', '11421', '52531', '50466', '8864']"
30873,"['6557', '51682', '71435', '7926', '67916']"
46059,"['56059', '77948', '29480', '57117', '16119']"
49615,"['77442', '63647', '35311', '13964', '6401']"
76629,"['29276', '47312', '55428', '54069', '24368']"
55488,"['61837', '3722', '31355', '62201', '67801']"
30713,"['64338', '63170', '33391', '47770', '10450']"
3527,"['77268', '41927', '68326', '68098', '22192']"
52884,"['40889', '44707', '46459', '39872', '71821']"
48270,"['19628', '24384', '5792', '78290', '63144']"
18224,"['6651', '20973', '10222', '26479', '32664']"
39309,"['74173', '1424', '29309', '45902', '19434']"
11265,"['12140', '23526', '29513', '77342', '10623']"
8288,"['49982', '51459', '36301', '65870', '52348']"
40312,"['24755', '17091', '26464', '14358', '28453']"
35418,"['24232', '19171', '26358', '13482', '68855']"
78181,"['14802', '59055', '29225', '73247', '34701']"
8859,"['31427', '68144', '40263', '39606', '17844']"
3875,"['65369', '12432', '20794', '44404', '45790']"
17348,"['38971', '41811', '48763', '23972', '24826']"
37321,"['76079', '14594', '45981', '69655', '57602']"
22277,"['38971', '20480', '29480', '47140', '21836']"
52705,"['25265', '54258', '58141', '31529', '12247']"
26856,"['67177', '3237', '8218', '78428', '18915']"
36095,"['75703', '18397', '59158', '23727', '3281']"
66497,"['14617', '61673', '49887', '71605', '64129']"
55326,"['65094', '28990', '15111', '27880', '40509']"
3959,"['4836', '65301', '46086', '68263', '22527']"
66928,"['50451', '77483', '46164', '49188', '3172']"
23159,"['46377', '65284', '35679', '72777', '11245']"
76762,"['66650', '12978', '61178', '64261', '54568']"
73748,"['64606', '6271', '14788', '33260', '38528']"
8248,"['41625', '12642', '77519', '9996', '27311']"
39766,"['62134', '49506', '40014', '54041', '38143']"
49234,"['28502', '43043', '57457', '75529', '27003']"
23366,"['23559', '54341', '14191', '49456', '11886']"
59734,"['12430', '45555', '52991', '63590', '11794']"
41020,"['13939', '7715', '59441', '22356', '39476']"
74389,"['12860', '66366', '20301', '69096', '39656']"
8538,"['12997', '60657', '3044', '61252', '21121']"
40113,"['78512', '61589', '11439', '8624', '54271']"
32980,"['12863', '60791', '75557', '36107', '49442']"
47068,"['1327', '46964', '1587', '51630', '34306']"
20083,"['41369', '15227', '39296', '20287', '10456']"
31728,"['76427', '6883', '55210', '45416', '2937']"
52192,"['51359', '49941', '1961', '45380', '65772']"
62732,"['56972', '25693', '22271', '34065', '25623']"
30746,"['28851', '34655', '14777', '18783', '55798']"
22622,"['177', '25958', '31522', '49852', '37110']"
54612,"['35508', '77855', '41056', '35035', '67027']"
59032,"['30091', '5911', '16137', '13647', '59614']"
26385,"['72454', '55779', '77981', '35050', '14840']"
65461,"['74747', '371', '1232', '56428', '3744']"
54835,"['72155', '75815', '33202', '73277', '55611']"
54737,"['45467', '31260', '48266', '13614', '75990']"
76905,"['60579', '60051', '53472', '52269', '48453']"
45093,"['32545', '18686', '67643', '8456', '27124']"
31273,"['13785', '49638', '13811', '28321', '33742']"
851,"['72857', '11286', '60788', '12638', '66785']"
16935,"['48802', '49984', '19974', '61917', '42276']"
28379,"['25635', '30601', '72746', '54075', '23986']"
17009,"['10811', '57350', '57533', '59927', '5075']"
1486,"['58916', '35294', '65098', '37816', '33672']"
62630,"['29106', '19464', '4902', '8156', '7165']"
34682,"['54901', '19678', '43307', '43739', '38947']"
6741,"['72666', '8419', '2067', '76691', '2322']"
20852,"['15614', '12111', '44859', '53258', '31673']"
22265,"['49990', '62163', '21229', '16104', '2925']"
2244,"['48614', '17876', '57908', '51890', '10005']"
26396,"['41024', '42370', '29901', '1968', '45790']"
48796,"['34460', '12413', '41958', '10865', '42920']"
45501,"['30233', '15609', '73488', '27373', '77939']"
26445,"['75744', '277', '46778', '33184', '38618']"
457,"['6493', '47064', '62840', '11052', '6546']"
35752,"['11898', '67723', '44203', '63306', '131']"
47491,"['23318', '76630', '42046', '8881', '16077']"
43762,"['71591', '52422', '27775', '35302', '67113']"
23599,"['65169', '23321', '51955', '62340', '15165']"
13325,"['43707', '36552', '65076', '67387', '58']"
3273,"['52148', '63400', '12922', '60311', '36881']"
2257,"['24406', '53659', '18758', '69549', '68389']"
34670,"['23273', '12210', '35000', '11025', '1877']"
74105,"['66566', '66156', '13409', '67778', '24726']"
35720,"['12627', '22005', '40451', '20501', '41884']"
71526,"['75536', '34004', '920', '12690', '50656']"
21737,"['76533', '66705', '32179', '58248', '5050']"
7860,"['51107', '71442', '30012', '75948', '7272']"
41648,"['18955', '37632', '30485', '37626', '63435']"
1640,"['29714', '62780', '58107', '12462', '30084']"
33814,"['45991', '31164', '55069', '43006', '30192']"
19717,"['48263', '46654', '70155', '26055', '33267']"
78998,"['30283', '46065', '40412', '18996', '19321']"
23643,"['28022', '2341', '65250', '39052', '13658']"
68712,"['24300', '57366', '68131', '29003', '885']"
63739,"['245', '108', '21985', '760', '48237']"
42328,"['25393', '54345', '50898', '64149', '77720']"
23446,"['9556', '17784', '64681', '55332', '63207']"
21285,"['37135', '8369', '53470', '58284', '32899']"
72959,"['1490', '3402', '57282', '75962', '20679']"
8548,"['24313', '12333', '17580', '30903', '26680']"
21221,"['23485', '41801', '75032', '51672', '73867']"
12564,"['9024', '50498', '20000', '21222', '59588']"
9577,"['56841', '53691', '44386', '15210', '64908']"
29381,"['62972', '60916', '7191', '43470', '329']"
19688,"['53671', '76898', '64102', '43509', '78127']"
45195,"['41092', '3940', '53604', '18271', '50434']"
22775,"['52193', '59274', '7453', '27913', '39515']"
13131,"['11953', '78174', '23795', '3994', '23815']"
8861,"['24216', '55373', '21666', '3134', '16016']"
1680,"['41002', '39636', '9499', '20224', '78934']"
62200,"['31326', '15516', '65034', '182', '56126']"
73868,"['22900', '21481', '33564', '16366', '67925']"
7666,"['23738', '76874', '73018', '36163', '13607']"
7084,"['18083', '13537', '5976', '53933', '72194']"
74586,"['20308', '51213', '48079', '48871', '58627']"
2335,"['32043', '38968', '1016', '59682', '14066']"
22877,"['56141', '7039', '75550', '54424', '9796']"
68509,"['10281', '24083', '79065', '77436', '37129']"
28737,"['7160', '43366', '74194', '26508', '72665']"
66339,"['46568', '22733', '12812', '1010', '12786']"
49803,"['72635', '26829', '64255', '18712', '14922']"
14189,"['420', '5795', '19865', '56253', '11193']"
9884,"['78020', '30753', '26027', '53852', '73586']"
67630,"['75140', '58276', '56185', '1520', '6202']"
11407,"['43307', '74722', '76290', '36282', '45358']"
8384,"['73827', '59711', '12996', '29633', '3094']"
75345,"['77914', '71556', '26487', '8303', '59818']"
45841,"['48916', '572', '68886', '21587', '10669']"
63764,"['917', '8776', '72750', '68427', '64967']"
70197,"['70842', '5348', '34964', '19157', '13442']"
32109,"['44866', '46147', '33273', '6083', '11245']"
30434,"['32675', '69062', '36062', '37119', '26694']"
45358,"['50222', '30012', '70836', '58739', '7272']"
52721,"['52061', '44588', '50435', '20806', '5790']"
58820,"['37173', '52221', '28064', '56472', '51133']"
70803,"['16119', '51702', '37396', '24980', '63646']"
50338,"['34534', '24329', '52861', '1112', '58918']"
66493,"['39767', '19163', '54378', '35658', '78306']"
52519,"['42639', '20245', '31280', '35109', '20665']"
37378,[]
49952,"['6379', '59829', '29688', '49747', '33449']"
75882,"['69761', '6928', '3599', '5544', '41463']"
7445,"['20893', '16987', '55548', '40786', '32587']"
17850,"['66251', '18472', '13238', '38212', '32319']"
42566,"['57241', '8670', '50773', '23256', '42856']"
29708,"['6749', '37955', '17528', '19253', '37374']"
46476,"['39127', '14773', '67106', '14385', '17877']"
14470,"['29821', '57927', '72574', '14222', '54354']"
43679,"['2499', '54989', '30342', '65573', '38169']"
40279,"['19718', '37784', '57122', '4527', '9882']"
24002,"['67995', '23695', '54583', '64882', '6398']"
68253,"['29051', '64547', '74414', '7799', '35013']"
15581,"['41013', '67273', '12962', '2507', '22291']"
73552,"['41795', '9272', '9820', '39741', '18777']"
38164,"['37047', '36397', '44955', '24896', '9756']"
58779,"['57594', '36145', '27908', '59003', '57480']"
57464,"['40362', '3232', '78678', '11714', '25395']"
56827,"['49259', '25616', '65566', '19337', '59401']"
76331,"['7508', '76695', '16174', '3236', '25035']"
12568,"['29850', '31675', '27730', '34542', '22590']"
63107,"['56784', '45209', '9101', '44665', '50507']"
39971,"['41180', '49482', '72884', '39623', '70151']"
24776,"['70516', '1892', '7323', '45677', '51320']"
65811,"['50533', '66423', '15018', '35136', '72455']"
77175,"['541', '46159', '31202', '15133', '63916']"
53717,"['17049', '12008', '50176', '63436', '38049']"
50340,"['36957', '59621', '61692', '49714', '4288']"
77554,"['45968', '73962', '24594', '63610', '42856']"
63279,"['64526', '3006', '60575', '29489', '35664']"
59821,"['78273', '76768', '77173', '43470', '3453']"
12725,"['75326', '77274', '25926', '42402', '3807']"
1235,"['45257', '62843', '33527', '31459', '70806']"
34899,"['53689', '62507', '57484', '11203', '21832']"
37797,"['49319', '7332', '74553', '49149', '55180']"
29368,"['54691', '70718', '70774', '64422', '78431']"
11378,"['39990', '74419', '14214', '53068', '43705']"
59092,"['55902', '17969', '34673', '14169', '31831']"
5362,"['53009', '10413', '25244', '8007', '1092']"
47933,"['10704', '42723', '53380', '19827', '55074']"
68560,"['68849', '3356', '1689', '47690', '78531']"
57628,"['75656', '36560', '71981', '65016', '75531']"
11682,"['77859', '28211', '17608', '23577', '233']"
18601,"['65836', '74388', '2104', '18155', '55539']"
58566,"['19714', '50602', '946', '76261', '8']"
29217,"['20931', '28259', '39909', '26193', '2192']"
64901,"['4833', '22764', '77255', '52355', '14314']"
6359,"['18600', '12311', '17794', '53600', '49428']"
54801,"['62867', '37857', '72658', '52086', '54634']"
66017,"['71444', '64579', '69254', '58552', '26881']"
28302,"['54499', '14050', '25094', '23964', '21746']"
19235,"['72807', '74350', '78312', '19029', '17131']"
24078,"['78528', '11873', '60118', '46879', '23300']"
7924,"['47315', '62972', '42845', '26867', '62685']"
2993,"['63144', '10091', '63337', '73009', '57496']"
71202,"['53525', '47228', '56200', '74279', '32972']"
38543,"['30692', '46465', '74700', '21419', '60975']"
9943,"['31334', '3506', '8785', '54785', '78790']"
24706,"['66347', '18335', '33848', '61120', '43806']"
17298,"['51923', '65304', '4944', '60430', '65514']"
49279,"['21540', '38622', '13702', '16390', '66616']"
7129,"['24038', '47375', '66512', '3058', '35934']"
54586,"['67469', '65717', '73660', '61972', '3342']"
55270,"['16096', '69313', '60724', '73159', '38807']"
16937,"['65681', '38509', '43144', '4072', '3914']"
44508,"['66615', '49500', '29865', '3030', '31697']"
28976,"['41759', '3854', '42742', '76025', '55339']"
9612,"['77211', '41140', '2429', '13501', '66629']"
43313,"['56597', '76074', '27527', '16060', '21176']"
46237,"['55679', '52371', '19203', '7018', '61000']"
14883,"['74732', '3661', '66286', '52081', '5627']"
71036,"['4959', '77025', '55388', '37132', '42745']"
71886,"['1258', '58463', '73963', '32847', '41043']"
70372,"['72588', '30536', '23678', '6934', '48146']"
14750,"['75966', '9613', '40183', '15264', '46172']"
52053,"['8147', '50137', '5268', '10528', '16104']"
51638,"['31090', '54071', '74584', '19004', '68464']"
61875,"['55198', '48421', '29252', '30355', '27299']"
42039,"['24763', '20458', '34800', '77366', '21']"
25598,"['48128', '65415', '73862', '73204', '42223']"
23417,"['73418', '31709', '33556', '71374', '43670']"
30446,"['17511', '5790', '21325', '255', '1048']"
27104,"['69014', '67389', '31865', '17429', '8289']"
61715,"['9779', '74229', '18130', '33938', '24808']"
72826,"['4550', '33503', '36113', '13817', '64528']"
7415,"['17066', '60599', '21829', '18962', '66888']"
11688,"['63552', '65214', '26020', '32690', '58165']"
12209,"['27772', '31533', '59068', '35424', '72215']"
79016,"['59121', '53240', '77768', '22802', '16151']"
6019,"['70356', '22524', '8219', '32574', '37969']"
14436,"['48541', '46137', '77074', '51056', '20737']"
75422,"['12526', '47440', '73359', '58102', '48580']"
10482,"['57808', '22587', '4369', '69093', '30714']"
24686,"['62582', '49943', '41030', '59258', '39661']"
50313,"['3111', '12908', '46195', '53516', '65960']"
58067,"['4727', '76166', '55801', '50445', '35233']"
37854,"['42073', '44868', '33953', '46077', '4759']"
24118,"['72944', '11083', '12393', '52899', '24971']"
66750,"['22040', '7049', '19367', '33892', '62838']"
8116,"['20658', '28075', '15798', '30409', '12169']"
62540,"['306', '997', '68089', '61454', '52063']"
25663,"['58262', '48000', '29485', '782', '46468']"
16585,"['71212', '4771', '1725', '49565', '78960']"
28466,"['23233', '74658', '58992', '60850', '74106']"
42531,"['32538', '61073', '23340', '2838', '15688']"
39680,"['67605', '17234', '23000', '68817', '56382']"
51560,"['59428', '49819', '61187', '72713', '46064']"
13374,"['59105', '78363', '64256', '35342', '75918']"
18441,"['33504', '14430', '40719', '57135', '231']"
13880,"['70363', '22551', '36858', '20571', '63857']"
17383,"['47375', '27454', '43640', '63987', '36096']"
13014,"['10382', '54855', '32261', '3728', '32565']"
57674,"['55299', '17106', '40298', '62976', '11908']"
18756,"['78228', '6035', '11224', '39788', '57564']"
51964,"['13010', '13845', '29445', '16240', '60905']"
27403,"['55067', '61333', '55338', '57407', '76698']"
10871,"['55671', '63313', '38512', '12018', '33729']"
35456,"['48732', '41178', '22036', '71944', '45987']"
74872,"['37870', '64693', '69307', '27186', '36931']"
63796,"['61771', '72062', '16832', '60628', '22791']"
63457,"['14668', '77670', '60773', '27305', '4196']"
55057,"['56859', '544', '31741', '57521', '55325']"
47336,"['16793', '13244', '22180', '61425', '16106']"
43032,"['69767', '55843', '58354', '32824', '62661']"
63855,"['1226', '43729', '54274', '22917', '63730']"
72231,"['59484', '26426', '13887', '23163', '62307']"
11527,"['5344', '63754', '20749', '76659', '37020']"
31548,"['32945', '41469', '78893', '16532', '23914']"
62812,"['10756', '51238', '34163', '76403', '961']"
20266,"['34283', '32231', '14265', '4944', '64251']"
59605,"['71183', '53778', '55536', '17522', '74365']"
57163,"['47876', '46789', '23155', '51347', '78609']"
34307,"['62620', '26581', '32021', '68323', '74510']"
65903,"['37560', '47604', '62514', '62703', '55428']"
28580,"['64249', '8144', '10142', '60604', '46442']"
5197,"['69855', '39697', '1069', '876', '23145']"
34939,"['38963', '66524', '16642', '73440', '39788']"
59859,"['11365', '43567', '12858', '58302', '49927']"
12077,"['63606', '65995', '56983', '2329', '26036']"
75539,"['13169', '35050', '70034', '78724', '13278']"
24979,"['17595', '3021', '59225', '33036', '26063']"
47684,"['72435', '14385', '73844', '72492', '46476']"
37711,"['40430', '47942', '42243', '74553', '71973']"
14162,"['34395', '33237', '27740', '15335', '34170']"
30806,"['19309', '33249', '62091', '55964', '32486']"
65785,"['49244', '49055', '2698', '54157', '59426']"
2723,"['285', '57758', '1811', '27014', '57973']"
52874,"['56801', '17284', '63485', '53761', '31293']"
2612,"['53553', '46239', '46219', '69231', '72958']"
63908,"['21029', '45658', '61550', '18938', '5553']"
12075,"['9062', '20914', '1699', '50975', '71514']"
78080,"['17382', '51178', '41358', '59649', '7072']"
39083,"['61906', '70562', '46600', '70738', '6659']"
64333,"['48338', '23198', '65787', '18017', '6984']"
12640,"['46553', '14519', '33811', '49019', '6180']"
41002,"['6907', '2648', '45564', '46629', '21999']"
27038,"['56486', '29786', '14150', '28069', '73021']"
38637,"['21892', '14972', '7432', '73245', '6691']"
44894,"['61510', '11643', '17300', '55438', '65734']"
35904,"['67205', '11332', '54325', '38363', '3745']"
38819,"['308', '62079', '68833', '63801', '3850']"
30628,"['60954', '25680', '12507', '18282', '10682']"
6790,"['11002', '8453', '15017', '12855', '56180']"
38368,"['35835', '24212', '63466', '63593', '45129']"
27726,"['56814', '27042', '29000', '326', '31996']"
4890,"['52843', '38506', '27021', '30490', '76995']"
37429,"['42372', '32422', '35911', '10796', '58999']"
57598,"['1725', '75544', '23660', '32453', '9597']"
44452,"['71764', '39113', '47527', '73011', '24879']"
77629,"['53253', '55974', '43747', '28196', '13995']"
44327,"['62120', '14719', '26502', '31034', '73562']"
21276,"['75189', '14767', '77241', '38103', '38809']"
46655,"['25686', '50807', '63874', '61633', '66']"
35579,"['74152', '47000', '45040', '64686', '22800']"
56629,"['25958', '16682', '18306', '19713', '43828']"
47549,"['18614', '61235', '9743', '2270', '51113']"
31827,"['38345', '39092', '17522', '19813', '4666']"
41447,"['28722', '11748', '12610', '41053', '50631']"
57018,"['60741', '58204', '45453', '15352', '46576']"
69755,"['42821', '78826', '78956', '3539', '46860']"
16190,"['38388', '74405', '39732', '44109', '36125']"
48231,"['8037', '3245', '76493', '68991', '28391']"
58737,"['68923', '47239', '19261', '16165', '55876']"
9001,"['61141', '4705', '65446', '61651', '31201']"
19462,"['45082', '61922', '48427', '41705', '41478']"
15267,"['55872', '74128', '45433', '17660', '52354']"
68076,"['67621', '45702', '59602', '34459', '45829']"
17617,"['5462', '55120', '12091', '4259', '76999']"
43701,"['58948', '29003', '4591', '7846', '66924']"
66224,"['24754', '29047', '78793', '14017', '78470']"
23132,"['41241', '32208', '75247', '37486', '11071']"
23535,"['72803', '61562', '63884', '35545', '53004']"
18479,"['16010', '38627', '34294', '54597', '65306']"
63017,"['61096', '41368', '21950', '15779', '68575']"
61316,"['47340', '55875', '53929', '2820', '22917']"
56775,"['78749', '5324', '43320', '47893', '15073']"
66954,"['65177', '36846', '14396', '20441', '7944']"
32532,"['70849', '3955', '49853', '78325', '24815']"
53813,"['15302', '3343', '29969', '49454', '54199']"
43877,"['44030', '61088', '33621', '50697', '47520']"
34078,"['17701', '39071', '58353', '75693', '65312']"
58561,"['41266', '30691', '8460', '46343', '21783']"
77952,"['57906', '72241', '67836', '7456', '76940']"
34978,"['28556', '59240', '40049', '47069', '6517']"
337,"['5668', '30463', '35863', '53377', '36640']"
25367,"['3324', '2703', '36278', '29078', '7414']"
35094,"['65441', '51448', '54', '25594', '34077']"
24459,"['12870', '59322', '36913', '50941', '13073']"
10745,"['68005', '37111', '66783', '8685', '20035']"
59769,"['17233', '1126', '19538', '70195', '43600']"
54929,"['62996', '26066', '57917', '61021', '50382']"
78279,"['59177', '12201', '31488', '40994', '75475']"
62535,"['61268', '61049', '35393', '65278', '10230']"
3268,"['4901', '31529', '62545', '53606', '49452']"
663,"['48017', '24713', '69456', '57942', '67374']"
32451,"['37334', '52197', '464', '48898', '21429']"
21607,"['47262', '75550', '57142', '73438', '38557']"
46904,"['44696', '32270', '35795', '65515', '50738']"
58236,"['18908', '44289', '4861', '66531', '39000']"
25488,"['7411', '5356', '70503', '26219', '38602']"
58262,"['29485', '25663', '782', '48000', '42215']"
38083,"['18394', '61125', '12456', '39747', '27176']"
3059,"['23096', '29784', '48030', '71228', '34511']"
49587,"['45795', '73276', '39911', '29126', '8316']"
32126,"['250', '11383', '31754', '59772', '62015']"
48127,"['67067', '41863', '62275', '29881', '36181']"
59649,"['3164', '37014', '56339', '46741', '37806']"
17465,"['26249', '38827', '1074', '8029', '57349']"
53838,"['51215', '21144', '55096', '33186', '27466']"
37146,"['8017', '18686', '4251', '23282', '52022']"
40692,"['7888', '72383', '37837', '29292', '23386']"
53134,"['26634', '64904', '70576', '21014', '2669']"
10841,"['33485', '67253', '28775', '50102', '59307']"
11169,"['58915', '5338', '42065', '58090', '54460']"
68764,"['24480', '71884', '78830', '65102', '39357']"
57342,"['4214', '19789', '15063', '72800', '52897']"
11603,"['20519', '66585', '59713', '66582', '77508']"
69838,"['12220', '43386', '65409', '61742', '37689']"
37998,"['9832', '40576', '65895', '77997', '59371']"
35898,"['20882', '29242', '46341', '70875', '4175']"
51042,"['68492', '7638', '66855', '32210', '54120']"
44118,"['37940', '74109', '52118', '55542', '27188']"
67506,"['39427', '56101', '70419', '60619', '36896']"
636,"['7991', '17283', '54581', '77722', '38770']"
2579,"['61143', '20790', '46749', '13206', '50956']"
45286,"['39274', '22856', '68872', '20796', '68662']"
18427,"['16400', '37959', '78910', '7107', '13902']"
28844,"['47103', '70193', '40250', '43856', '55796']"
65714,"['51211', '14077', '32460', '42831', '8787']"
24554,"['37499', '61446', '5612', '45985', '74303']"
36175,"['18356', '72668', '32334', '51333', '22286']"
72138,"['75895', '18454', '52542', '2963', '35756']"
45594,"['28672', '2468', '11552', '18317', '64208']"
24747,"['78927', '52189', '76939', '26217', '19257']"
26662,"['5070', '36505', '77596', '23541', '27486']"
33525,"['4949', '18780', '76057', '9552', '41512']"
8296,"['27796', '71315', '56618', '43448', '53924']"
56597,"['33562', '67985', '21176', '23529', '43313']"
61794,"['12416', '75251', '53981', '6541', '35268']"
