recommendation_shown_1,recommendation_shown_0,recommendation_shown_2,alias,model_2_id,book_id,model_0_id,decision,team,time,model_1_id
6035,72885,14366,Duc,Hybrid_RS,10307,intra_bpe_hybrid,recommendation_0,DataMinerz,2021-06-25 10:41:02.778000+00:00,ensemble
25488,14984,6510,MarBoe,model_2,25488,team404_base_model,recommendation_0,MannheimMiners,2021-06-16 15:28:57.242000+00:00,Hybrid_MeanAllClassifiers
74022,31121,28368,Guszti,first,24087,Hybrid_MeanAllClassifiers,recommendation_1,flying chicken wings,2021-06-12 09:25:57.840000+00:00,model_2
48418,45981,47509,Estelle,teamfivemodel,11253,Hybrid_MeanAllClassifiers,recommendation_0,DataMinerz,2021-06-09 16:06:56.025000+00:00,first
8678,9936,63722,Alina,team404_base_model,16935,teamfivemodel,recommendation_1,MineFromHome,2021-06-12 12:35:37.816000+00:00,Hybrid_MeanAllClassifiers
55091,37991,28678,Moritz H,team404_base_model,14470,first,recommendation_1,the flying chicken wings,2021-06-12 20:31:20.670000+00:00,model_2
39127,42255,14773,Lars,content-based_RS,46476,team404_base_model,recommendation_0,team404,2021-06-16 08:59:26.075000+00:00,Hybrid_MeanAllClassifiers
73204,55007,30112,Alicia,team404_base_model,11595,teamfivemodel,recommendation_2,Team 404,2021-06-16 16:39:32.828000+00:00,lw_bpe_graph
10227,10227,7636,roma,classifier,45435,third,recommendation_2,flying chicken wings,2021-06-22 17:46:12.388000+00:00,intra_bpe_hybrid
52712,8226,47314,gbodnya,model_2,34078,first,recommendation_1,flying chicken wings,2021-06-12 20:19:19+00:00,team404_base_model
43707,31904,72120,Alicia,team404_base_model,13325,lw_bpe_graph,recommendation_2,Team 404,2021-06-16 16:59:37.828000+00:00,content-based_RS
57302,29355,1822,DP,Hybrid_MeanAllClassifiers,1822,content-based_RS,recommendation_0,MannheimMiners,2021-06-16 15:49:31.628000+00:00,team404_base_model
53979,63758,24764,bechtify,Hybrid_MeanAllClassifiers,78080,model_2,recommendation_2,MannheimMiners,2021-06-11 11:51:35.665000+00:00,team404_base_model
50455,25015,11526,Keyvan Amiri Elyasi,content-based_RS,19994,lw_bpe_graph,recommendation_2,The Dataworms,2021-06-15 13:52:39.224000+00:00,teamfivemodel
11060,57516,64558,Moritz H,Hybrid_RS,51832,third,recommendation_0,the flying chicken wings,2021-06-24 15:52:49.305000+00:00,hybrid_learned_weights
15254,15254,15254,Lasse,hybrid_learned_weights,60216,intra_bpe_hybrid,recommendation_0,team404,2021-06-22 09:30:41.087000+00:00,third
35835,35835,23412,Guszti,teamfivemodel,38368,model_2,recommendation_2,flying chicken wings,2021-06-12 17:11:11.818000+00:00,first
46880,21426,74526,MarBoe,model_2,6341,first,recommendation_2,MannheimMiners,2021-06-14 07:25:26.213000+00:00,team404_base_model
46075,25802,19533,bechtify,team404_base_model,21281,first,recommendation_1,MannheimMiners,2021-06-16 07:14:46.109000+00:00,teamfivemodel
57325,59089,62044,MarBoe,model_2,9179,teamfivemodel,recommendation_2,MannheimMiners,2021-06-14 07:47:03.267000+00:00,Hybrid_MeanAllClassifiers
52589,47561,42836,Zhuoyan,teamfivemodel,35752,first,recommendation_1,The Dataworms,2021-06-13 09:15:07.685000+00:00,team404_base_model
35928,4529,4996,RR,classifier,41422,ensemble,recommendation_1,flying_chicken_wings,2021-06-24 13:15:33.765000+00:00,hybrid_learned_weights
5419,14405,4835,Jakob,rule_based,36959,classifier,recommendation_1,DataMinerz,2021-06-21 19:29:02.643000+00:00,third
38864,30524,64832,Jakob,hybrid_learned_weights,56945,third,recommendation_2,DataMinerz,2021-06-21 19:42:51.744000+00:00,classifier
75962,59224,58416,Lars,Hybrid_MeanAllClassifiers,72959,teamfivemodel,recommendation_1,team404,2021-06-16 08:55:12.718000+00:00,content-based_RS
4410,12748,50814,Jerome,classifier,72017,rule_based,recommendation_0,team404,2021-06-22 16:19:03.270000+00:00,Hybrid_RS
817,6001,39630,MarBoe,lw_bpe_graph,43701,model_2,recommendation_0,MannheimMiners,2021-06-16 17:54:54.273000+00:00,team404_base_model
70203,39810,13169,bechtify,teamfivemodel,75539,team404_base_model,recommendation_0,MannheimMiners,2021-06-16 07:25:03.541000+00:00,model_2
31809,53236,3863,Luis,model_2,32451,teamfivemodel,recommendation_2,MannheimMiners,2021-06-16 10:01:18.555000+00:00,first
78327,68539,25836,Rahul,classifier,73427,rule_based,recommendation_0,D2G2,2021-06-23 11:05:01.593000+00:00,intra_bpe_hybrid
22802,48308,22802,Jonathan B,hybrid_learned_weights,79016,third,recommendation_1,DataMinerz,2021-06-25 17:38:23.966000+00:00,Hybrid_RS
74743,25146,74743,Lasse,rule_based,47464,third,recommendation_0,team404,2021-06-22 09:38:26.292000+00:00,hybrid_learned_weights
60331,11483,7345,Harith,lw_bpe_graph,6019,Hybrid_MeanAllClassifiers,recommendation_2,D2G2,2021-06-15 12:53:50.895000+00:00,model_2
41808,51481,66535,Luis,Hybrid_MeanAllClassifiers,60331,team404_base_model,recommendation_2,MannheimMiners,2021-06-16 15:27:41.354000+00:00,lw_bpe_graph
34604,75140,10840,Sascha,team404_base_model,67630,teamfivemodel,recommendation_0,team404,2021-06-09 14:28:01.217000+00:00,model_2
56731,5097,16848,DP,model_2,57342,lw_bpe_graph,recommendation_0,MannheimMiners,2021-06-16 15:46:43.569000+00:00,Hybrid_MeanAllClassifiers
54740,31103,59235,roma,team404_base_model,39665,Hybrid_MeanAllClassifiers,recommendation_0,flying chicken wings,2021-06-14 09:52:55.065000+00:00,first
28978,3230,20096,Marvin O.,first,29779,model_2,recommendation_2,MannheimMiners,2021-06-11 19:19:58.095000+00:00,Hybrid_MeanAllClassifiers
52250,19968,19968,bechtify,lw_bpe_graph,60983,model_2,recommendation_0,MannheimMiners,2021-06-15 07:31:55.200000+00:00,Hybrid_MeanAllClassifiers
73646,48465,30892,Nazanin,first,4272,team404_base_model,recommendation_1,Dataworms,2021-06-16 16:55:02.491000+00:00,content-based_RS
61260,7731,35569,Jonathan,model_2,61514,teamfivemodel,recommendation_0,team404,2021-06-12 13:44:27.561000+00:00,team404_base_model
18539,40576,29118,Niklas,first,37998,model_2,recommendation_0,DataMinerz,2021-06-08 12:40:40.370000+00:00,team404_base_model
43345,29645,29645,MR,first,25367,Hybrid_MeanAllClassifiers,recommendation_1,Mine From Home,2021-06-14 19:26:11.732000+00:00,team404_base_model
27746,19194,73018,Duc,Hybrid_MeanAllClassifiers,37378,teamfivemodel,recommendation_1,DataMinerz,2021-06-14 14:25:32.573000+00:00,team404_base_model
75220,27563,65077,DP,Hybrid_MeanAllClassifiers,21536,team404_base_model,recommendation_1,MannheimMiners,2021-06-11 11:22:26.994000+00:00,teamfivemodel
21389,49441,68075,Caioo,hybrid_learned_weights,30816,Hybrid_RS,recommendation_2,flying_chicken_wings,2021-06-22 13:25:41.604000+00:00,rule_based
29097,26113,28531,Yueli,Hybrid_RS,1777,classifier,recommendation_1,D2G2,2021-06-22 10:43:15.242000+00:00,intra_bpe_hybrid
34566,12102,12063,seb,hybrid_learned_weights,37011,classifier,recommendation_1,D2G2,2021-06-23 08:40:37.426000+00:00,intra_bpe_hybrid
48274,49164,54487,DH,third,43672,hybrid_learned_weights,recommendation_1,D2G2,2021-06-25 09:34:26.895000+00:00,ensemble
46264,14351,66649,Zhuoyan,Hybrid_MeanAllClassifiers,36939,team404_base_model,recommendation_1,The Dataworms,2021-06-15 14:09:52.080000+00:00,lw_bpe_graph
27003,75585,75293,gbodnya,lw_bpe_graph,23643,model_2,recommendation_0,flying chicken wings,2021-06-23 19:35:30.705000+00:00,teamfivemodel
11908,51184,3414,Jakob,classifier,57674,intra_bpe_hybrid,recommendation_1,DataMinerz,2021-06-21 19:20:14.435000+00:00,third
32512,75004,19132,gbodnya,teamfivemodel,25513,Hybrid_MeanAllClassifiers,recommendation_1,flying chicken wings,2021-06-12 21:41:15.825000+00:00,first
76285,63098,63548,Moritz H,intra_bpe_hybrid,60216,Hybrid_RS,recommendation_0,the flying chicken wings,2021-06-24 15:45:44.944000+00:00,classifier
37618,63730,31921,Simon,first,68560,teamfivemodel,recommendation_1,MineFromHome,2021-06-14 18:20:30.921000+00:00,lw_bpe_graph
41811,17348,54372,Simon,model_2,17348,Hybrid_MeanAllClassifiers,recommendation_1,MineFromHome,2021-06-14 18:50:52.586000+00:00,lw_bpe_graph
9543,57275,36285,DP,model_2,14026,lw_bpe_graph,recommendation_1,MannheimMiners,2021-06-16 16:11:09.998000+00:00,first
66598,21166,64583,Alicia,first,10789,team404_base_model,recommendation_2,Team 404,2021-06-13 11:56:07.816000+00:00,teamfivemodel
29971,60882,56869,Jerome,model_2,9365,first,recommendation_0,team404,2021-06-09 15:17:07.410000+00:00,team404_base_model
46041,65714,25497,Jakob,team404_base_model,75295,first,recommendation_1,DataMinerz,2021-06-15 11:48:15.340000+00:00,teamfivemodel
54793,63135,63135,seb,first,10482,model_2,recommendation_2,D2G2,2021-06-10 07:44:00.341000+00:00,team404_base_model
36531,68931,12293,Daniel,Hybrid_MeanAllClassifiers,39627,model_2,recommendation_2,MineFromHome,2021-06-15 07:23:49.513000+00:00,teamfivemodel
48287,25274,22911,J,Hybrid_MeanAllClassifiers,3273,model_2,recommendation_2,flying_chicken_wings,2021-06-19 13:34:50.839000+00:00,first
72624,56824,29653,CC,teamfivemodel,23349,content-based_RS,recommendation_0,	The Dataworms,2021-06-15 12:42:44.384000+00:00,first
53940,17744,37783,Yueli,classifier,19717,hybrid_learned_weights,recommendation_1,D2G2,2021-06-22 10:11:01.230000+00:00,Hybrid_RS
57399,26680,65226,Daniel,rule_based,73427,classifier,recommendation_1,MineFromHome,2021-06-22 10:06:24.163000+00:00,third
44069,40017,16411,Mimimi,third,16746,intra_bpe_hybrid,recommendation_2,The dataworms,2021-06-25 08:22:19.672000+00:00,Hybrid_RS
40276,60879,56986,Sascha,Hybrid_RS,53393,intra_bpe_hybrid,recommendation_2,team404,2021-06-22 14:19:00.316000+00:00,third
38789,19533,2587,DP,first,68759,team404_base_model,recommendation_2,MannheimMiners,2021-06-11 11:24:07.469000+00:00,model_2
16995,45300,1689,gbodnya,teamfivemodel,77200,team404_base_model,recommendation_1,flying chicken wings,2021-06-24 12:45:49.609000+00:00,lw_bpe_graph
50682,78182,60471,Guszti,Hybrid_MeanAllClassifiers,22160,teamfivemodel,recommendation_2,flying chicken wings,2021-06-12 09:22:00.076000+00:00,first
13291,70417,36970,Marvin O.,team404_base_model,33790,model_2,recommendation_0,MannheimMiners,2021-06-11 19:22:10.761000+00:00,first
21291,74078,46436,Harith,rule_based,66493,Hybrid_RS,recommendation_1,D2G2,2021-06-25 01:21:40.638000+00:00,classifier
75386,9120,35990,Moritz H,Hybrid_RS,47597,ensemble,recommendation_1,the flying chicken wings,2021-06-24 15:47:00.088000+00:00,intra_bpe_hybrid
10998,15474,12480,DH,hybrid_learned_weights,41477,intra_bpe_hybrid,recommendation_2,D2G2,2021-06-25 09:29:47.697000+00:00,classifier
29757,56579,71360,TimG,team404_base_model,2319,teamfivemodel,recommendation_0,DataMinerz,2021-06-09 14:53:46.350000+00:00,Hybrid_MeanAllClassifiers
11963,62494,20759,LF,teamfivemodel,61125,team404_base_model,recommendation_1,D2G2,2021-06-10 21:41:59.718000+00:00,model_2
77503,20074,61500,Alina,teamfivemodel,37146,first,recommendation_1,MineFromHome,2021-06-12 13:00:31.502000+00:00,team404_base_model
60983,36328,10843,Esther Vogt,teamfivemodel,60983,team404_base_model,recommendation_0,DataMinerz,2021-06-14 14:56:43.814000+00:00,Hybrid_MeanAllClassifiers
77689,11695,16892,Tim Bleil,first,24085,lw_bpe_graph,recommendation_0,DataMinerz,2021-06-14 18:50:22.388000+00:00,Hybrid_MeanAllClassifiers
58556,43971,34062,Jakob,lw_bpe_graph,6288,first,recommendation_0,DataMinerz,2021-06-15 11:47:45.014000+00:00,model_2
55014,46722,46971,Lukas,content-based_RS,70923,lw_bpe_graph,recommendation_2,Team404,2021-06-16 16:07:28.412000+00:00,first
13121,78860,14993,Alina,model_2,47302,team404_base_model,recommendation_1,MineFromHome,2021-06-12 12:09:00.292000+00:00,Hybrid_MeanAllClassifiers
69966,50751,35016,Jonathan B,model_2,62630,first,recommendation_0,DataMinerz,2021-06-14 13:21:44.548000+00:00,Hybrid_MeanAllClassifiers
61633,78179,52005,Jerome,hybrid_learned_weights,1777,intra_bpe_hybrid,recommendation_0,team404,2021-06-22 14:08:49.391000+00:00,Hybrid_RS
22363,30857,64932,gbodnya,Hybrid_MeanAllClassifiers,47549,lw_bpe_graph,recommendation_0,flying chicken wings,2021-06-23 19:46:45.356000+00:00,team404_base_model
12444,78404,13739,Keyvan Amiri Elyasi,classifier,33517,hybrid_learned_weights,recommendation_1,the dataworms,2021-06-22 11:50:31.061000+00:00,Hybrid_RS
46316,23818,12371,LF,Hybrid_MeanAllClassifiers,44894,teamfivemodel,recommendation_1,D2G2,2021-06-10 22:15:46.020000+00:00,model_2
60896,47812,32882,Jonathan,Hybrid_MeanAllClassifiers,56475,lw_bpe_graph,recommendation_2,team404,2021-06-16 09:02:34.494000+00:00,model_2
26020,2465,1117,Morris,teamfivemodel,27259,Hybrid_MeanAllClassifiers,recommendation_0,MannheimMiners,2021-06-16 08:55:59.219000+00:00,team404_base_model
68840,5462,55120,Keyvan Amiri Elyasi,model_2,17617,Hybrid_MeanAllClassifiers,recommendation_0,The Dataworms,2021-06-15 09:57:45.941000+00:00,first
46758,11193,36080,C,teamfivemodel,72855,model_2,recommendation_1,The Dataworms,2021-06-15 14:41:22.098000+00:00,lw_bpe_graph
15800,59130,21904,Sascha,first,12971,Hybrid_MeanAllClassifiers,recommendation_1,team404,2021-06-09 14:23:06.879000+00:00,model_2
62640,78834,4521,MR,lw_bpe_graph,45270,team404_base_model,recommendation_0,Mine From Home,2021-06-14 19:29:32.227000+00:00,teamfivemodel
57494,46040,3431,TimG,team404_base_model,45594,model_2,recommendation_1,DataMinerz,2021-06-14 14:53:19.220000+00:00,teamfivemodel
7698,56855,49459,Yueli,hybrid_learned_weights,3472,rule_based,recommendation_0,D2G,2021-06-25 09:39:48.231000+00:00,Hybrid_RS
12059,12491,32210,Caioo,Hybrid_RS,15472,rule_based,recommendation_1,flying_chicken_wings,2021-06-22 13:30:54.126000+00:00,intra_bpe_hybrid
45503,42489,30903,Morris,first,39779,team404_base_model,recommendation_2,MannheimMiners,2021-06-16 09:00:06.262000+00:00,content-based_RS
18701,43549,37507,Keyvan Amiri Elyasi,Hybrid_MeanAllClassifiers,63023,first,recommendation_1,The Dataworms,2021-06-13 09:58:59.974000+00:00,teamfivemodel
50966,32948,66589,J,third,42326,classifier,recommendation_1,flying_chicken_wings,2021-06-22 16:59:41.473000+00:00,intra_bpe_hybrid
63610,59224,17554,Moritz H,third,77554,classifier,recommendation_1,the flying chicken wings,2021-06-24 15:51:24.842000+00:00,hybrid_learned_weights
27477,73672,35467,Morris,team404_base_model,48659,content-based_RS,recommendation_1,MannheimMiners,2021-06-16 08:55:01.449000+00:00,Hybrid_MeanAllClassifiers
7419,68719,8735,Iris,model_2,63796,lw_bpe_graph,recommendation_2,MineFromHome,2021-06-16 09:07:50.920000+00:00,first
74414,10039,68253,Harith,Hybrid_MeanAllClassifiers,68253,teamfivemodel,recommendation_1,D2G2,2021-06-15 12:54:17.351000+00:00,lw_bpe_graph
11908,58996,61968,LF,teamfivemodel,57674,model_2,recommendation_0,D2G2,2021-06-12 07:24:01.829000+00:00,first
